Id,CodeArticle,CodeBarre,Libelle,CodeDim1,LibelleDim1,CodeDim2,LibelleDim2,Fournisseur,FamilleNiv1,FamilleNiv2,FamilleNiv3,FamilleNiv4,FamilleNiv5,FamilleNiv6,FamilleNiv7,FamilleNiv8,Quantite_Achat,DateLibre,Prix_Vente_TND,Prix_Achat_TND,IdCategorie
1,ART000001,9826224447213,Danone Lampe oiseau,DIM1-72,know,DIM2-69,member,Monoprix,Maroquinerie,lisser,yet,sorte,phone,passer,content,according,55,2023-09-16,1796.16,1207.74,CAT026
2,ART000002,5756924593757,Adidas Machine à laver million,DIM1-64,film,DIM2-12,parent,Délice Danone,Cosmétiques,imaginer,fast,his,résister,satisfaire,user,paysage,20,2023-12-07,1256.75,860.16,CAT044
3,ART000003,1672434266179,IKEA Télévision pass,DIM1-49,nor,DIM2-77,of,Modern Leasing,Bijouterie,lieu,chien,titre,compare,résistance,soldier,style,33,2023-03-24,1942.3,1429.64,CAT001
4,ART000004,1438889937565,Nivea Réfrigérateur sport,DIM1-69,joindre,DIM2-97,plus,Monoprix,Librairie,garde,wife,clef,juge,gun,still,prouver,15,2023-09-28,590.53,407.91,CAT011
5,ART000005,1775140105128,Danone Thé profiter,DIM1-34,religion,DIM2-65,indiquer,One Tech Group,Bijouterie,maintain,monde,digne,individual,simple,parfois,improve,14,2024-07-01,1741.68,1338.19,CAT020
6,ART000006,3419182553711,L'Oréal Shampoing religious,DIM1-26,news,DIM2-20,picture,Aziza,Électronique,popular,people,journée,through,prepare,trésor,why,70,2024-06-06,1907.23,1494.69,CAT034
7,ART000007,5134125286690,Bosch Fromage révolution,DIM1-63,land,DIM2-3,point,Yazaki Tunisia,Santé,remplir,pont,challenge,hauteur,president,lier,poésie,40,2023-06-01,482.71,374.39,CAT016
8,ART000008,8876767721906,Apple Télévision fruit,DIM1-94,fin,DIM2-63,rapide,SOTUMAG,Chaussures,concern,others,often,réveiller,fenêtre,occur,ouvert,99,2023-11-27,255.89,177.86,CAT043
9,ART000009,3407451713393,LG Yaourt traditional,DIM1-34,company,DIM2-68,eaux,Arab Tunisian Bank,Informatique,banc,no,picture,idée,figure,toward,content,28,2024-12-14,1858.18,1386.18,CAT049
10,ART000010,4223253672947,Danone Table how,DIM1-40,bag,DIM2-52,mois,Aziza,Téléphonie,run,look,generation,certain,prove,to,quoi,67,2023-06-19,905.71,584.13,CAT016
11,ART000011,3745458929752,Samsung Cahier aucun,DIM1-76,sou,DIM2-71,admit,Orange Tunisie,Maroquinerie,danser,loss,nul,vérité,tempête,cold,better,29,2023-07-14,19.35,14.05,CAT046
12,ART000012,5206436110374,Apple Lampe conseil,DIM1-5,propos,DIM2-43,act,SOTUMAG,Bijouterie,vieux,technology,nommer,plaire,ensuite,behind,chasse,31,2023-10-13,560.56,360.35,CAT032
13,ART000013,2622189092751,Danone Machine à laver souffrir,DIM1-74,mur,DIM2-74,trade,Attijari Bank,Maison & Jardin,cause,côte,saluer,have,forward,étonner,quite,61,2023-07-12,1615.96,1000.06,CAT013
14,ART000014,0438983640379,IKEA Jus budget,DIM1-46,précipiter,DIM2-55,quartier,UTIC,Téléphonie,lisser,cause,traditional,history,petit,aimer,agiter,94,2023-06-17,113.07,90.1,CAT042
15,ART000015,0684866618892,Samsung Réfrigérateur flamme,DIM1-52,habitant,DIM2-94,prince,Géant,Cosmétiques,d'abord,include,habiter,show,avoir,casser,business,32,2024-04-20,387.22,267.07,CAT035
16,ART000016,4210202758845,LG T-shirt madame,DIM1-36,ferme,DIM2-60,appel,Orange Tunisie,Hygiène,surface,expert,fait,pourtant,much,around,town,57,2023-10-13,1617.0,1001.86,CAT036
17,ART000017,4191380003074,Adidas Eau identify,DIM1-2,dessiner,DIM2-12,remercier,Orange Tunisie,Électronique,door,energy,whole,experience,réussir,call,dessus,53,2024-09-16,973.85,752.72,CAT014
18,ART000018,6174451870537,LG Ordinateur organization,DIM1-49,sister,DIM2-1,pendant,Senia,Sport & Loisirs,perhaps,spring,réfléchir,cri,mouvement,envelopper,provide,59,2023-09-18,574.07,454.36,CAT045
19,ART000019,6413836702415,Nivea Yaourt entrée,DIM1-92,school,DIM2-63,low,Leoni AG,Électroménager,roman,présenter,suivant,bad,oiseau,éprouver,every,38,2024-12-20,439.31,314.47,CAT004
20,ART000020,5574313291219,Samsung Yaourt parfois,DIM1-96,former,DIM2-41,camera,Délice Danone,Boissons,speech,partager,major,together,cent,vendre,the,75,2023-06-17,956.19,603.82,CAT034
21,ART000021,2135680442067,Apple Shampoing only,DIM1-24,cerveau,DIM2-9,blue,Arab Tunisian Bank,Hygiène,commencement,bas,confondre,miser,rich,rose,whose,87,2023-01-17,1724.33,1075.94,CAT026
22,ART000022,3721510702969,Sony Pain model,DIM1-75,mari,DIM2-77,consider,Délice Danone,Parfumerie,difficult,fin,like,arme,tapis,moment,us,11,2023-02-17,841.35,599.92,CAT038
23,ART000023,4626383806570,Philips Cahier guy,DIM1-27,important,DIM2-86,couple,Géant,Maison & Jardin,honneur,appel,article,next,speak,davantage,étonner,34,2023-07-27,794.59,579.34,CAT043
24,ART000024,3965223955902,Bosch Pantalon yourself,DIM1-97,résistance,DIM2-10,position,Groupe Poulina,Téléphonie,continue,always,avenir,semblable,alors,a,whose,80,2024-09-18,1996.92,1227.41,CAT007
25,ART000025,5250029218510,Adidas Table sea,DIM1-34,peace,DIM2-17,intérieur,Aziza,Hygiène,future,dans,strong,range,contain,dog,malheur,32,2024-07-24,742.21,510.37,CAT011
26,ART000026,2209690295934,Danone Yaourt pourtant,DIM1-39,inquiéter,DIM2-79,espace,BIAT,Alimentation,front,sueur,volonté,likely,faute,étranger,justice,86,2024-09-03,1635.12,1285.78,CAT020
27,ART000027,0067626765867,LG Réfrigérateur planche,DIM1-34,déclarer,DIM2-15,back,Yazaki Tunisia,Chaussures,gagner,homme,book,jeter,maître,branche,inutile,20,2024-07-01,548.33,352.1,CAT039
28,ART000028,6296201533681,Sony Cahier recent,DIM1-88,finish,DIM2-82,chacun,Monoprix,Bijouterie,mer,class,lire,nuit,gagner,decision,animer,63,2023-05-13,505.99,312.93,CAT004
29,ART000029,1714677418622,Coca-Cola T-shirt value,DIM1-36,hope,DIM2-6,paquet,Groupe Poulina,Librairie,falloir,make,draw,organization,crier,cas,system,99,2024-08-10,265.99,168.19,CAT017
30,ART000030,8068687937417,Adidas Pantalon weight,DIM1-91,prendre,DIM2-55,comme,STB,Alimentation,consumer,effacer,comprendre,note,vaincre,defense,scène,15,2023-09-06,155.11,121.11,CAT045
31,ART000031,1686854870991,Samsung Yaourt budget,DIM1-48,citizen,DIM2-75,reste,STB,Vêtements,chemin,fou,understand,everything,real,owner,always,56,2023-08-02,259.25,174.46,CAT020
32,ART000032,2996065307452,Bosch Ordinateur interrompre,DIM1-27,foreign,DIM2-88,threat,Orange Tunisie,Cosmétiques,toward,ensemble,glace,staff,exist,point,direction,46,2023-06-14,1561.33,1240.89,CAT027
33,ART000033,7850821486285,LG Thé dernier,DIM1-31,drame,DIM2-21,étranger,One Tech Group,Informatique,passage,lire,fils,than,mouth,prove,usage,4,2023-07-07,362.82,274.47,CAT022
34,ART000034,7972798552418,Nestlé T-shirt ahead,DIM1-86,appear,DIM2-95,rêve,Orange Tunisie,Sport & Loisirs,encore,trouver,fermer,must,vague,pièce,tapis,21,2024-04-11,1575.81,1066.05,CAT007
35,ART000035,3494466574378,Coca-Cola Ordinateur research,DIM1-61,pattern,DIM2-29,acheter,Tunisie Telecom,Téléphonie,option,fire,plonger,intérieur,push,training,every,45,2023-05-27,613.86,395.68,CAT015
36,ART000036,8309652074462,Sony Jus important,DIM1-52,rouge,DIM2-43,jeune,Monoprix,Hygiène,vendre,what,movement,through,titre,fumer,petit,99,2024-07-29,561.85,394.35,CAT042
37,ART000037,8251353465547,Coca-Cola Jus major,DIM1-69,peser,DIM2-43,spectacle,Groupe Poulina,Cosmétiques,peuple,précis,unique,next,job,cri,douze,34,2023-11-14,361.24,219.51,CAT017
38,ART000038,2521752500740,IKEA Fromage demande,DIM1-45,pont,DIM2-94,confiance,Géant,Informatique,property,international,me,above,quitter,maintenant,humain,78,2023-01-14,1968.55,1332.79,CAT008
39,ART000039,3354216894210,Sony Pain général,DIM1-33,lose,DIM2-6,leader,UTIC,Alimentation,jeu,her,défendre,after,enfermer,écrire,saluer,67,2023-04-06,1851.52,1365.26,CAT035
40,ART000040,0648909010012,Danone Thé life,DIM1-86,candidate,DIM2-26,matter,Aziza,Informatique,durant,glisser,recently,toujours,prevent,ni,prince,9,2023-08-08,1898.0,1375.35,CAT022
41,ART000041,1739348356423,Coca-Cola Jus regard,DIM1-16,whether,DIM2-93,véritable,Carrefour Tunisie,Bijouterie,give,absolu,traverser,choix,church,prince,chanter,40,2024-05-15,1335.45,908.75,CAT021
42,ART000042,7447012045569,Adidas Stylo cesse,DIM1-17,admettre,DIM2-25,tourner,UTIC,Bébé & Enfant,imposer,wall,pretty,unit,main,cover,miser,87,2023-12-21,1497.53,1082.87,CAT012
43,ART000043,6762120216979,IKEA Stylo course,DIM1-71,start,DIM2-1,population,Carrefour Tunisie,Automobiles,valoir,plusieurs,budget,let,beau,real,actually,27,2024-06-04,862.63,622.24,CAT038
44,ART000044,8891637562892,Nike Cahier afin de,DIM1-57,présenter,DIM2-57,together,Tunisie Telecom,Bijouterie,true,branche,full,indiquer,apply,rejoindre,interesting,61,2023-03-03,1588.5,1007.01,CAT048
45,ART000045,7971775170164,Philips Télévision also,DIM1-66,centre,DIM2-85,voice,Arab Tunisian Bank,Librairie,terre,growth,that,énergie,glass,sense,sense,12,2023-03-30,1637.75,1059.58,CAT049
46,ART000046,3055488510272,Sony Stylo mourir,DIM1-26,exécuter,DIM2-19,direction,Groupe Poulina,Boissons,mer,passé,inutile,nature,souvenir,parmi,reason,32,2024-01-23,1967.95,1515.22,CAT040
47,ART000047,8086978292212,Nike Télévision really,DIM1-54,mother,DIM2-81,kid,Amen Bank,Électroménager,fille,gun,local,convenir,play,threat,seek,92,2023-06-06,1394.23,947.98,CAT032
48,ART000048,9452288515874,Nivea Machine à laver represent,DIM1-89,understand,DIM2-1,system,Yazaki Tunisia,Informatique,puis,animal,check,travail,doux,social,foule,29,2023-04-24,355.89,250.4,CAT045
49,ART000049,4380571983862,Adidas Ordinateur prière,DIM1-32,room,DIM2-16,marcher,Modern Leasing,Vêtements,keep,old,agent,degree,themselves,souvenir,someone,60,2024-08-25,1336.82,961.29,CAT036
50,ART000050,4721228160647,L'Oréal Pantalon case,DIM1-93,rouler,DIM2-65,accept,UTIC,Chaussures,man,aspect,humide,sorte,military,baby,never,58,2023-05-23,1794.93,1386.22,CAT048
51,ART000051,8268861533552,Philips Pantalon finally,DIM1-97,soirée,DIM2-32,option,Monoprix,Bijouterie,clair,like,surveiller,aspect,I,mauvais,now,63,2023-01-20,1255.36,863.66,CAT018
52,ART000052,8877043581122,Philips Café soudain,DIM1-31,écraser,DIM2-35,veille,Géant,Librairie,thing,durer,radio,vendre,anglais,series,always,70,2023-02-26,165.75,107.12,CAT010
53,ART000053,2481934667664,LG Café adult,DIM1-91,report,DIM2-28,race,SOTUMAG,Informatique,surprendre,ruine,vision,liberté,frapper,policy,fonder,53,2023-10-24,665.11,454.37,CAT030
54,ART000054,0728326842455,Coca-Cola Table remettre,DIM1-54,commun,DIM2-50,accomplir,Amen Bank,Alimentation,note,grand,jeunesse,naissance,debout,en,daughter,98,2023-05-21,1153.5,693.46,CAT031
55,ART000055,8781414139754,Philips Sac career,DIM1-97,changement,DIM2-50,president,UTIC,Chaussures,doigt,mention,get,rule,respirer,system,later,96,2023-01-04,1470.59,1146.42,CAT039
56,ART000056,3364525777548,Sony Parfum ok,DIM1-35,descendre,DIM2-56,fonction,Attijari Bank,Alimentation,rappeler,falloir,bras,presser,rond,specific,arrière,50,2024-02-27,675.58,513.19,CAT044
57,ART000057,2563942788163,LG Thé morning,DIM1-60,tour,DIM2-17,simple,Arab Tunisian Bank,Chaussures,problème,par,dessiner,plutôt,amount,poitrine,battre,4,2023-10-14,1814.32,1293.39,CAT038
58,ART000058,0385677005184,Apple Smartphone they,DIM1-83,particular,DIM2-55,malade,Leoni AG,Téléphonie,history,profondément,however,profond,head,message,very,24,2024-01-25,105.32,70.09,CAT025
59,ART000059,7231843222592,Bosch Pantalon ton,DIM1-44,naturel,DIM2-98,service,Senia,Sport & Loisirs,plonger,measure,sang,tapis,age,atteindre,revenir,97,2023-04-15,1902.65,1237.59,CAT027
60,ART000060,9202428699045,Nike Télévision embrasser,DIM1-3,policy,DIM2-96,trip,STB,Boissons,conference,moyen,rose,son,computer,win,pick,45,2023-06-28,452.32,342.07,CAT005
61,ART000061,6210388629128,Samsung Eau week,DIM1-97,quelqu'un,DIM2-4,certain,Orange Tunisie,Électroménager,receive,sentier,tuer,nearly,hospital,ville,drop,3,2024-09-05,1244.56,778.15,CAT016
62,ART000062,5991624731492,Apple Jus even,DIM1-73,accord,DIM2-28,risquer,Modern Leasing,Sport & Loisirs,proposer,maître,ventre,issue,both,nouveau,every,99,2024-03-14,740.95,534.56,CAT039
